Sample in Buffer,Sample in Window,TRIGGER,TX_Data_Pipelined[63:0],TX_Info_Pipelined[4:0],RX_Data[63:0],RX_Info[4:0]
0,0,1,00000003e4aa6710,1e,00000003e4aa6710,0f
1,1,0,00000003e4aa6711,1d,00000003e4aa6710,0f
2,2,0,00000003e4aa6712,1c,00000003e4aa6710,0f
3,3,0,00000003e4aa6713,1c,00000003e4aa6710,0f
4,4,0,00000003e4aa6714,1c,00000003e4aa6710,0f
5,5,0,00000003e4aa6715,1c,00000003e4aa6710,0f
6,6,0,00000003e4aa6716,1c,00000003e4aa6710,0f
7,7,0,00000003e4aa6717,1c,00000003e4aa6710,0f
8,8,0,00000003e4aa6718,1c,00000003e4aa6710,0f
9,9,0,00000003e4aa6719,1c,00000003e4aa6710,0f
10,10,0,00000003e4aa671a,1c,00000003e4aa6710,0f
11,11,0,00000003e4aa671b,1c,00000003e4aa6710,0f
12,12,0,00000003e4aa671c,1c,00000003e4aa6710,0f
13,13,0,00000003e4aa671d,1c,00000003e4aa6710,0f
14,14,0,00000003e4aa671e,1c,00000003e4aa6710,0f
15,15,0,00000003e4aa671f,1c,00000003e4aa6710,0f
16,16,0,00000003e4aa6720,1e,00000003e4aa6721,10
17,17,0,00000003e4aa6721,1d,00000003e4aa6722,00
18,18,0,00000003e4aa6722,1c,00000003e4aa6723,00
19,19,0,00000003e4aa6723,1c,00000003e4aa6724,00
20,20,0,00000003e4aa6724,1c,00000003e4aa6725,00
21,21,0,00000003e4aa6725,1c,00000003e4aa6726,00
22,22,0,00000003e4aa6726,1c,00000003e4aa6727,00
23,23,0,00000003e4aa6727,1c,00000003e4aa6728,00
24,24,0,00000003e4aa6728,1c,00000003e4aa6729,00
25,25,0,00000003e4aa6729,1c,00000003e4aa672a,00
26,26,0,00000003e4aa672a,1c,00000003e4aa672b,00
27,27,0,00000003e4aa672b,1c,00000003e4aa672c,00
28,28,0,00000003e4aa672c,1c,00000003e4aa672d,00
29,29,0,00000003e4aa672d,1c,00000003e4aa672e,00
30,30,0,00000003e4aa672e,1c,00000003e4aa672f,00
31,31,0,00000003e4aa672f,1c,00000003e4aa6730,0f
32,32,0,00000003e4aa6730,1e,00000003e4aa6730,0f
33,33,0,00000003e4aa6731,1d,00000003e4aa6731,10
34,34,0,00000003e4aa6732,1c,00000003e4aa6732,00
35,35,0,00000003e4aa6733,1c,00000003e4aa6733,00
36,36,0,00000003e4aa6734,1c,00000003e4aa6734,00
37,37,0,00000003e4aa6735,1c,00000003e4aa6735,00
38,38,0,00000003e4aa6736,1c,00000003e4aa6736,00
39,39,0,00000003e4aa6737,1c,00000003e4aa6737,00
40,40,0,00000003e4aa6738,1c,00000003e4aa6738,00
41,41,0,00000003e4aa6739,1c,00000003e4aa6739,00
42,42,0,00000003e4aa673a,1c,00000003e4aa673a,00
43,43,0,00000003e4aa673b,1c,00000003e4aa673b,00
44,44,0,00000003e4aa673c,1c,00000003e4aa673c,00
45,45,0,00000003e4aa673d,1c,00000003e4aa673d,00
46,46,0,00000003e4aa673e,1c,00000003e4aa673e,00
47,47,0,00000003e4aa673f,1c,00000003e4aa673f,00
48,48,0,00000003e4aa6740,1e,00000003e4aa6740,0f
49,49,0,00000003e4aa6741,1d,00000003e4aa6741,10
50,50,0,00000003e4aa6742,1c,00000003e4aa6742,00
51,51,0,00000003e4aa6743,1c,00000003e4aa6743,00
52,52,0,00000003e4aa6744,1c,00000003e4aa6744,00
53,53,0,00000003e4aa6745,1c,00000003e4aa6745,00
54,54,0,00000003e4aa6746,1c,00000003e4aa6746,00
55,55,0,00000003e4aa6747,1c,00000003e4aa6747,00
56,56,0,00000003e4aa6748,1c,00000003e4aa6748,00
57,57,0,00000003e4aa6749,1c,00000003e4aa6749,00
58,58,0,00000003e4aa674a,1c,00000003e4aa674a,00
59,59,0,00000003e4aa674b,1c,00000003e4aa674b,00
60,60,0,00000003e4aa674c,1c,00000003e4aa674c,00
61,61,0,00000003e4aa674d,1c,00000003e4aa674d,00
62,62,0,00000003e4aa674e,1c,00000003e4aa674e,00
63,63,0,00000003e4aa674f,1c,00000003e4aa674f,00
64,64,0,00000003e4aa6750,1e,00000003e4aa6750,00
65,65,0,00000003e4aa6751,1d,00000003e4aa6751,10
66,66,0,00000003e4aa6752,1c,00000003e4aa6752,00
67,67,0,00000003e4aa6753,1c,00000003e4aa6753,00
68,68,0,00000003e4aa6754,1c,00000003e4aa6754,00
69,69,0,00000003e4aa6755,1c,00000003e4aa6755,00
70,70,0,00000003e4aa6756,1c,00000003e4aa6756,00
71,71,0,00000003e4aa6757,1c,00000003e4aa6757,00
72,72,0,00000003e4aa6758,1c,00000003e4aa6758,00
73,73,0,00000003e4aa6759,1c,00000003e4aa6759,00
74,74,0,00000003e4aa675a,1c,00000003e4aa675a,00
75,75,0,00000003e4aa675b,1c,00000003e4aa675b,00
76,76,0,00000003e4aa675c,1c,00000003e4aa675c,00
77,77,0,00000003e4aa675d,1c,00000003e4aa675d,00
78,78,0,00000003e4aa675e,1c,00000003e4aa675e,00
79,79,0,00000003e4aa675f,1c,00000003e4aa675f,00
80,80,0,00000003e4aa6760,1e,00000003e4aa6760,00
81,81,0,00000003e4aa6761,1d,00000003e4aa6761,00
82,82,0,00000003e4aa6762,1c,00000003e4aa6762,00
83,83,0,00000003e4aa6763,1c,00000003e4aa6763,00
84,84,0,00000003e4aa6764,1c,00000003e4aa6764,00
85,85,0,00000003e4aa6765,1c,00000003e4aa6765,00
86,86,0,00000003e4aa6766,1c,00000003e4aa6766,00
87,87,0,00000003e4aa6767,1c,00000003e4aa6767,00
88,88,0,00000003e4aa6768,1c,00000003e4aa6768,00
89,89,0,00000003e4aa6769,1c,00000003e4aa6769,00
